complaint_id,customer_id,category,description,priority,status,branch_id,raised_date,resolved_date,channel
COMP0001,CUST0881,Card Blocked,Customer raised issue regarding card blocked,Medium,Resolved,BR009,2024-12-22,2025-01-13,email
COMP0002,CUST0633,Fraud Alert,Customer raised issue regarding fraud alert,Low,Closed,BR008,2024-07-08,2024-07-25,email
COMP0003,CUST0525,Transfer Failed,Customer raised issue regarding transfer failed,Medium,In Progress,BR006,2024-12-21,,email
COMP0004,CUST0233,Interest Dispute,Customer raised issue regarding interest dispute,Critical,In Progress,BR007,2024-07-06,,website
COMP0005,CUST0510,Mobile App Bug,Customer raised issue regarding mobile app bug,Low,Closed,BR002,2024-07-12,2024-08-09,call_center
COMP0006,CUST0989,KYC Pending,Customer raised issue regarding kyc pending,High,Resolved,BR004,2024-10-09,2024-11-08,email
COMP0007,CUST0827,ATM Issue,Customer raised issue regarding atm issue,Critical,Resolved,BR009,2024-11-05,2024-11-25,email
COMP0008,CUST0552,Transfer Failed,Customer raised issue regarding transfer failed,Medium,Open,BR010,2024-10-24,,mobile_app
COMP0009,CUST0721,Wrong Charge,Customer raised issue regarding wrong charge,High,Resolved,BR005,2024-02-15,2024-03-05,call_center
COMP0010,CUST0718,Fraud Alert,Customer raised issue regarding fraud alert,High,In Progress,BR002,2024-05-19,,branch
COMP0011,CUST0270,Wrong Charge,Customer raised issue regarding wrong charge,Low,Resolved,BR005,2024-05-24,2024-06-21,branch
COMP0012,CUST0594,Transfer Failed,Customer raised issue regarding transfer failed,Critical,Closed,BR003,2024-05-05,2024-05-23,email
COMP0013,CUST0507,Card Blocked,Customer raised issue regarding card blocked,Low,Resolved,BR001,2024-06-06,2024-06-30,mobile_app
COMP0014,CUST0652,Interest Dispute,Customer raised issue regarding interest dispute,Low,In Progress,BR006,2024-05-15,,mobile_app
COMP0015,CUST0390,Loan Query,Customer raised issue regarding loan query,Low,Closed,BR008,2024-10-26,2024-11-15,mobile_app
COMP0016,CUST0329,Mobile App Bug,Customer raised issue regarding mobile app bug,Low,Open,BR007,2024-12-21,,email
COMP0017,CUST0785,Mobile App Bug,Customer raised issue regarding mobile app bug,High,Open,BR008,2024-03-27,,call_center
COMP0018,CUST0288,Transfer Failed,Customer raised issue regarding transfer failed,Low,Resolved,BR001,2024-05-04,2024-05-27,branch
COMP0019,CUST0512,ATM Issue,Customer raised issue regarding atm issue,Medium,In Progress,BR003,2024-01-19,,call_center
COMP0020,CUST0843,KYC Pending,Customer raised issue regarding kyc pending,Low,In Progress,BR010,2024-01-01,,call_center
COMP0021,CUST0600,KYC Pending,Customer raised issue regarding kyc pending,Low,Open,BR002,2024-05-15,,email
COMP0022,CUST0925,Interest Dispute,Customer raised issue regarding interest dispute,Medium,Open,BR006,2024-06-11,,call_center
COMP0023,CUST0247,Interest Dispute,Customer raised issue regarding interest dispute,Medium,Open,BR005,2024-10-16,,email
COMP0024,CUST0492,Card Blocked,Customer raised issue regarding card blocked,High,Closed,BR009,2024-05-10,2024-05-15,mobile_app
COMP0025,CUST0238,Loan Query,Customer raised issue regarding loan query,Medium,In Progress,BR009,2024-09-10,,mobile_app
COMP0026,CUST0351,Mobile App Bug,Customer raised issue regarding mobile app bug,Low,In Progress,BR005,2024-09-07,,branch
COMP0027,CUST0573,Wrong Charge,Customer raised issue regarding wrong charge,High,Open,BR004,2024-01-04,,mobile_app
COMP0028,CUST0814,ATM Issue,Customer raised issue regarding atm issue,Critical,Resolved,BR005,2024-10-02,2024-10-09,email
COMP0029,CUST0655,Fraud Alert,Customer raised issue regarding fraud alert,Medium,Resolved,BR002,2024-08-22,2024-09-07,call_center
COMP0030,CUST0209,Card Blocked,Customer raised issue regarding card blocked,Medium,Open,BR008,2024-02-18,,call_center
COMP0031,CUST0852,Mobile App Bug,Customer raised issue regarding mobile app bug,Medium,Open,BR007,2024-11-01,,mobile_app
COMP0032,CUST0682,Loan Query,Customer raised issue regarding loan query,Medium,In Progress,BR002,2024-09-13,,mobile_app
COMP0033,CUST0651,Branch Service,Customer raised issue regarding branch service,Low,Open,BR001,2024-09-26,,branch
COMP0034,CUST0158,Loan Query,Customer raised issue regarding loan query,Medium,Closed,BR010,2024-11-16,2024-12-16,branch
COMP0035,CUST0789,Wrong Charge,Customer raised issue regarding wrong charge,High,Closed,BR010,2024-06-08,2024-07-04,email
COMP0036,CUST0434,Card Blocked,Customer raised issue regarding card blocked,High,Open,BR002,2024-10-21,,call_center
COMP0037,CUST0358,Card Blocked,Customer raised issue regarding card blocked,Critical,In Progress,BR009,2024-07-08,,website
COMP0038,CUST0580,Transfer Failed,Customer raised issue regarding transfer failed,Medium,Resolved,BR001,2024-11-06,2024-11-14,website
COMP0039,CUST0720,Card Blocked,Customer raised issue regarding card blocked,Medium,Open,BR004,2024-02-16,,email
COMP0040,CUST0638,Mobile App Bug,Customer raised issue regarding mobile app bug,High,Resolved,BR001,2024-10-02,2024-10-22,branch
COMP0041,CUST0671,Loan Query,Customer raised issue regarding loan query,High,Closed,BR003,2024-09-13,2024-10-03,call_center
COMP0042,CUST0630,KYC Pending,Customer raised issue regarding kyc pending,Medium,Open,BR001,2024-07-28,,mobile_app
COMP0043,CUST0232,Loan Query,Customer raised issue regarding loan query,Medium,In Progress,BR008,2024-07-11,,call_center
COMP0044,CUST0971,Card Blocked,Customer raised issue regarding card blocked,Low,In Progress,BR005,2024-10-13,,mobile_app
COMP0045,CUST0534,Fraud Alert,Customer raised issue regarding fraud alert,Medium,In Progress,BR009,2024-06-18,,email
COMP0046,CUST0742,KYC Pending,Customer raised issue regarding kyc pending,Medium,Open,BR002,2024-01-22,,branch
COMP0047,CUST0650,KYC Pending,Customer raised issue regarding kyc pending,High,Resolved,BR005,2024-09-28,2024-10-08,mobile_app
COMP0048,CUST0609,Wrong Charge,Customer raised issue regarding wrong charge,Low,Closed,BR005,2024-01-12,2024-01-16,website
COMP0049,CUST0877,Interest Dispute,Customer raised issue regarding interest dispute,Low,In Progress,BR003,2024-03-04,,mobile_app
COMP0050,CUST0468,KYC Pending,Customer raised issue regarding kyc pending,Low,In Progress,BR006,2024-05-24,,website
COMP0051,CUST0961,Branch Service,Customer raised issue regarding branch service,Medium,Open,BR001,2024-04-06,,branch
COMP0052,CUST0708,Card Blocked,Customer raised issue regarding card blocked,Low,Open,BR004,2024-11-16,,call_center
COMP0053,CUST0521,Mobile App Bug,Customer raised issue regarding mobile app bug,Low,In Progress,BR010,2024-08-06,,website
COMP0054,CUST0350,Interest Dispute,Customer raised issue regarding interest dispute,High,Resolved,BR002,2024-03-14,2024-03-21,mobile_app
COMP0055,CUST0058,ATM Issue,Customer raised issue regarding atm issue,Critical,Closed,BR004,2024-04-23,2024-04-24,call_center
COMP0056,CUST0163,KYC Pending,Customer raised issue regarding kyc pending,Low,Closed,BR007,2024-07-14,2024-08-10,website
COMP0057,CUST0638,Fraud Alert,Customer raised issue regarding fraud alert,Medium,Open,BR003,2024-08-10,,mobile_app
COMP0058,CUST0165,Mobile App Bug,Customer raised issue regarding mobile app bug,Medium,In Progress,BR005,2024-06-19,,email
COMP0059,CUST0576,Wrong Charge,Customer raised issue regarding wrong charge,High,Closed,BR006,2024-07-06,2024-07-09,website
