transaction_id,customer_id,account_id,txn_type,amount,channel,branch_id,txn_date,status,description
TXN000001,CUST0147,ACC93182,DEPOSIT,417706.01,mobile,BR003,2024-07-11,SUCCESS,DEPOSIT via mobile
TXN000002,CUST0493,ACC73418,FD_BOOKING,93955.36,pos,BR007,2024-08-07,SUCCESS,FD_BOOKING via pos
TXN000003,CUST0270,ACC81549,UPI,58997.78,internet,BR009,2024-06-11,PENDING,UPI via internet
TXN000004,CUST0191,ACC43460,FD_BOOKING,403513.55,atm,BR009,2024-08-22,SUCCESS,FD_BOOKING via atm
TXN000005,CUST0877,ACC54875,NEFT,131505.39,internet,BR007,2024-11-01,FAILED,NEFT via internet
TXN000006,CUST0130,ACC22397,PAYMENT,487546.43,branch,BR002,2024-09-23,SUCCESS,PAYMENT via branch
TXN000007,CUST0895,ACC55563,LOAN_EMI,226337.16,pos,BR002,2024-09-06,SUCCESS,LOAN_EMI via pos
TXN000008,CUST0964,ACC76965,PAYMENT,70940.04,upi,BR004,2024-01-07,SUCCESS,PAYMENT via upi
TXN000009,CUST0363,ACC78888,RTGS,389990.85,pos,BR009,2024-09-02,SUCCESS,RTGS via pos
TXN000010,CUST0372,ACC80707,PAYMENT,346878.0,pos,BR003,2024-06-06,SUCCESS,PAYMENT via pos
TXN000011,CUST0170,ACC93218,RTGS,113206.12,upi,BR003,2024-09-20,SUCCESS,RTGS via upi
TXN000012,CUST0208,ACC46493,DEPOSIT,479532.48,atm,BR005,2024-07-17,PENDING,DEPOSIT via atm
TXN000013,CUST0916,ACC72461,UPI,161028.45,upi,BR005,2024-01-03,SUCCESS,UPI via upi
TXN000014,CUST0570,ACC97571,LOAN_EMI,104456.52,upi,BR010,2024-10-03,SUCCESS,LOAN_EMI via upi
TXN000015,CUST0421,ACC28389,TRANSFER,240517.97,mobile,BR004,2024-07-26,SUCCESS,TRANSFER via mobile
TXN000016,CUST0430,ACC61249,RTGS,96766.31,internet,BR002,2024-04-09,SUCCESS,RTGS via internet
TXN000017,CUST0412,ACC26183,RTGS,472176.12,mobile,BR004,2024-08-05,SUCCESS,RTGS via mobile
TXN000018,CUST0779,ACC52922,DEPOSIT,318414.63,pos,BR005,2024-09-04,SUCCESS,DEPOSIT via pos
TXN000019,CUST0613,ACC71749,PAYMENT,330244.68,internet,BR002,2024-09-24,SUCCESS,PAYMENT via internet
TXN000020,CUST0158,ACC19227,FD_BOOKING,437630.22,branch,BR007,2024-05-04,SUCCESS,FD_BOOKING via branch
TXN000021,CUST0437,ACC86674,TRANSFER,438133.54,upi,BR008,2024-05-08,SUCCESS,TRANSFER via upi
TXN000022,CUST0091,ACC89077,RTGS,432556.03,mobile,BR008,2024-12-14,SUCCESS,RTGS via mobile
TXN000023,CUST0654,ACC23787,LOAN_EMI,421178.27,upi,BR005,2024-05-21,SUCCESS,LOAN_EMI via upi
TXN000024,CUST0430,ACC97422,LOAN_EMI,491545.0,branch,BR001,2024-02-23,SUCCESS,LOAN_EMI via branch
TXN000025,CUST0249,ACC86779,UPI,110771.93,atm,BR005,2024-02-25,SUCCESS,UPI via atm
TXN000026,CUST0500,ACC83488,RTGS,418722.27,atm,BR010,2024-09-28,FAILED,RTGS via atm
TXN000027,CUST0392,ACC15518,RTGS,53988.06,upi,BR002,2024-10-04,SUCCESS,RTGS via upi
TXN000028,CUST0783,ACC41275,FD_BOOKING,290103.02,upi,BR010,2024-07-27,SUCCESS,FD_BOOKING via upi
TXN000029,CUST0763,ACC15225,FD_BOOKING,323579.53,atm,BR008,2024-10-28,SUCCESS,FD_BOOKING via atm
TXN000030,CUST0963,ACC62257,ATM_WITHDRAWAL,334567.28,branch,BR004,2024-10-06,SUCCESS,ATM_WITHDRAWAL via branch
